Property Name,Address,Year Ending,Property GFA - Self-Reported (ft²),Year Built,Electricity Use - Grid Purchase (kWh),Natural Gas Use (therms),Fuel Oil #2 Use (kBtu),ENERGY STAR Score,Site EUI (kBtu/ft²),Site Energy Use (kBtu),Direct GHG Emissions (Metric Tons CO2e)
Dalrymple Boat House,"1000 Elmwood Ave, Providence, RI 02907",06/30/2014 12:00:00 AM,17474,1894,66012.2,0,396750,,35.6,621983.8,29.4
Alex & Ani City Center,"2 Kennedy Plaza, Providence, RI 02903",06/30/2016 12:00:00 AM,6373,1959,507086.6,5265,,,354.1,2256679.9,28
Atwells Avenue Fire Station,"639 Atwells Avenue Providence, RI 02909",06/30/2013 12:00:00 AM,10022,1948,61989.4,550.27,753618,,101.8,1020152.6,58.8
Atwells Avenue Fire Station,"639 Atwells Avenue Providence, RI 02909",06/30/2012 12:00:00 AM,10022,1948,64449.2,537.63,632316,,90.4,905980,49.8
Asa Messer Elementary School @ Samuel W. Bridgham,"1655 Westminster Street Providence, RI, 02909",06/30/2016 12:00:00 AM,109255,1972,538278,35400.51,,70,49.2,5376656,188
Atwells Avenue Fire Station,"639 Atwells Avenue Providence, RI 02909",06/30/2010 12:00:00 AM,10022,1948,60785.1,520.79,539994,,79.8,799471.4,42.8
Esek Hopkins Middle School,"480 Charles St, Providence, RI 02904",06/30/2015 12:00:00 AM,87560,1916,288139.3,34526.05,0,76,50.7,4435736.6,183.4
Central-Classical High Schools,"770 Westminster St, Providence, RI 02903",06/30/2011 12:00:00 AM,454059,1962,3084743.1,24532.03,14156867.3,50,59.8,27135215.5,1180.9
William D'Abate Elementary School,"60 Kossuth St, Providence, RI 02909",06/30/2017 12:00:00 AM,44174,1959,210677.1,30109,,54,84.4,3729730.4,159.9
Rochambeau Avenue Fire Station,"270 Rochambeau Avenue Providence, RI 02906",06/30/2013 12:00:00 AM,7400,1928,38898.4,6857.9,0,,110.6,818511.8,36.4
Asa Messer Annex (WSPS),"245 Althea St, Providence, RI 02909",06/30/2011 12:00:00 AM,20360,1925,52549.6,8465.9,0,75,50.4,1025889.7,45
Dalrymple Boat House,"1000 Elmwood Ave, Providence, RI 02907",06/30/2017 12:00:00 AM,17474,1894,49230.7,,368460,,30.7,536435,27.3
Bank of America Skating Center,"2 Kennedy Plaza, Providence, RI 02903",06/30/2015 12:00:00 AM,6373,1999,520299,9429,0,,426.5,2718160.4,50.1
Bank of America Skating Center,"2 Kennedy Plaza, Providence, RI 02903",06/30/2014 12:00:00 AM,6373,1999,541300,11149,0,,464.7,2961815.9,59.2
Bank of America Skating Center,"2 Kennedy Plaza, Providence, RI 02903",06/30/2013 12:00:00 AM,6373,1999,522132.1,18122,0,,563.9,3593715.1,96.3
