facility,month,total_energy_use_kbtu,electricity_use_kwh,natural_gas_use_mcf,steam_use_k_lbs,water_use_k_gals,wastewater_use_k_gals,total_energy_cost,electricity_cost,natural_gas_cost,steam_cost,water_cost,wastewater_cost,total_utility_cost,total_emissions_tons_co_2,electricity_tons_co_2,natural_gas_tons_co_2,steam_tons_co_2,heating_degree_days,cooling_degree_days,uses_electricity_for_summer_cooling,uses_natural_gas_for_winter_heating,uses_steam_for_winter_heating,wnu_all_energy,wnu_gas,wnu_electricity,wnu_steam
Kane/McKeesport,2018-06-01,1315550.4970674,289547.727272714,318.690322580642,0,276.0607,12404.7143,24787.22,22202.23,2584.99,0,2455.72,3671.37,30914.31,143.011331623894,123.84593300454,19.1653986193547,0,16,186,Yes,Yes,,3310307.83999464,829.933938350554,720145.296415672,0
Kane/McKeesport,2018-08-01,1284016.2468301,302520.748387104,244.956666666634,0,232.8078,8285.7993,25606.5,23535.39,2071.11,0,2053.1,3197.92,30857.52,144.125983561627,129.394779541629,14.731204019998,0,0,247,Yes,Yes,,2586768.45032413,508.27182186228,605001.470530394,0
Kane/McKeesport,2018-10-01,1645468.4178581,227801.703225821,844.561290322568,0,367.7515,19803.4203,22805.83,18361.43,4444.4,0,2758.42,4968.12,30532.37,148.226026984573,97.4358001071545,50.7902268774186,0,400,52,Yes,Yes,,1813867.57918695,934.955092143228,249921.964965918,0
Kane/McKeesport,2018-12-01,2093247.9880345,178524.146551729,1443.7,0,441.2097,44258.1481,25024.49,12975.29,12049.2,0,3193.88,6022.15,34240.52,163.179935611399,76.3587050113987,86.8212306,0,890,0,Yes,Yes,,1221295.60079709,820.869251733206,110621.925561358,0
Kane/McKeesport,2019-03-01,1905877.7092706,181325.344827579,1252.13582949309,0,430.727,43127.7778,24937.55,15390.99,9546.56,0,3147.58,5839.85,33924.98,152.857783654397,77.5568391403418,75.3009445140556,0,860,0,Yes,Yes,,1209508.51290386,776.644528102563,120491.775502468,0
Kane/McKeesport,2019-05-01,1164283.1992,237196.6,345.3,0,402.7,40264.8148,22124.97,19336.58,2788.39,0,2959.27,5466.89,30551.13,122.2198555452,101.4542041452,20.7656514,0,101,76,Yes,Yes,,3378449.0570739,1045.31659061278,675223.798922617,0
Kane/McKeesport,2019-07-01,1187038.5075098,284247.73125,211.26969696965,0,349.865,35026.1538,24480.84,22589.53,1891.31,0,2939.57,4571.37,31991.78,134.284345142073,121.579008105713,12.7053370363608,0,0,307,Yes,Yes,,1969141.58478317,359.469437955297,468817.996062464,0
Kane/McKeesport,2020-02-01,1799580.8264047,161472.190476172,1214.628125,0,312.3207,23457.4661,22269.03,14166.98,8102.05,0,3639.84,3058.39,28967.26,142.110514436099,69.0652082548494,73.04530618125,0,892,0,Yes,Yes,,1081529.67973057,709.753385914412,103136.9281977,0
Round Hill Greenhouse,2021-10-01,7.3114285,2.14285712192263,0,0,0,0,8.2,8.2,0,0,0,0,8.2,0.000916547133902989,0.000916547133902989,0,0,194,34,,,,16.3359039525395,0,4.78777958749694,0
Ridge Road Maintenance Bldg,2021-06-01,5420.3636364,0,5.27272727276265,0,1.434,1.8626,42.77,0,42.77,0,40.29,35.33,118.39,0.3170912727294,0,0.3170912727294,0,22,212,,Yes,,12141.5182797816,11.8108154472583,0,0
Round Hill Greenhouse,2021-06-01,6.5203737,1.91101222157093,0,0,0,0,7.22,7.22,0,0,0,0,7.22,0.00081738196943476,0.00081738196943476,0,0,22,212,,,,14.6055212860473,0,4.28063343670789,0
Miller Homestead,2021-12-01,25164.1939394,0,24.4787878787938,0,0,0,160.3,0,160.3,0,0,0,160.3,1.4721053454549,0,1.4721053454549,0,726,0,,Yes,,17624.2901660277,17.1442511342682,0,0
Boyce Park Res 3-1,2021-08-01,0,0,0,0,6.1483,6.1483,0,0,0,0,43.99,21.5,65.49,0,0,0,0,0,291,,,,0,0,0,0
N Park Hse 17 Service Rd,2021-09-01,0,0,0,0,0,0,0,0,0,0,0,27.44,27.44,0,0,0,0,47,95,,,,0,0,0,0
Boyce Park Center Rd,2022-03-01,0,0,0,0,380.1093,1.0459,0,0,0,0,2546.55,38.34,2584.89,0,0,0,0,667,0,,,,0,0,0,0
Boyce Park Center Rd,2022-05-01,0,0,0,0,443.0305,2.3193,0,0,0,0,2781.51,37.08,2818.59,0,0,0,0,113,58,,,,0,0,0,0
Boyce Park Center Rd,2022-07-01,0,0,0,0,198.9167,2.7194,0,0,0,0,2841.48,38.97,2880.45,0,0,0,0,0,284,,,,0,0,0,0
S Park 100 Acre House,2021-10-01,19142.8571429,0,18.6214563646887,0,0,0,134.59,0,134.59,0,0,0,134.59,1.11985714285965,0,1.11985714285965,0,194,34,,Yes,,42770.8313995821,41.605867120216,0,0
Miller Homestead,2021-10-01,5300.625,0,5.15625,0,0,0,36.16,0,36.16,0,0,0,36.16,0.3100865625,0,0.3100865625,0,194,34,,Yes,,11843.1713978233,11.5205947449643,0,0
N Park Pool,2021-12-01,307384.4606061,0,299.01212121216,0,5084.6268,0,1999.37,0,1999.37,0,26459.66,241.73,28700.76,17.9819909454569,0,17.9819909454569,0,726,0,,Yes,,215283.387947812,209.419638081529,0,0
Deer Lakes Minnow Grove,2021-08-01,41.4196359,12.139400908558,0,0,0,0,9.42,9.42,0,0,0,0,9.42,0.00519228883541026,0.00519228883541026,0,0,0,291,,,,73.5640407932924,0,21.5603871023717,0
N Park Shed Willow Grv,2021-09-01,238.8286205,69.99666485932,0,0,0,0,22.69,22.69,0,0,0,0,22.69,0.0299391134869581,0.0299391134869581,0,0,47,95,,,,864.513354188424,0,253.3743710986,0
Deer Lakes Restrooms,2021-08-01,1955.035381,572.988095252052,0,0,0,0,59.44,59.44,0,0,60.3,0,119.74,0.245079614077398,0.245079614077398,0,0,0,291,,,,3262.08770362372,0,956.063219115981,0
Deer Lakes Spray Park,2021-08-01,11592.9686476,3397.70476189918,0,0,0,0,253.06,253.06,0,0,0,0,253.06,1.45327307616904,1.45327307616904,0,0,0,291,,,,20589.8868972773,0,6034.55067329347,0
Light: Hartwood Acres Middle Rd Ent,2018-04-01,0.0027296,0.0008,0,0,0,0,15.03,15.03,0,0,0,0,15.03,3.421776e-07,3.421776e-07,0,0,562,11,,,,,,,
Light: Hartwood Acres Middle Rd Ent,2018-06-01,0,0,0,0,0,0,14.15,14.15,0,0,0,0,14.15,0,0,0,0,16,186,,,,,,,
Light: Hartwood Acres Middle Rd Ent,2018-08-01,0.0026656,0.000781242672919109,0,0,0,0,14.57,14.57,0,0,0,0,14.57,3.34154678546307e-07,3.34154678546307e-07,0,0,0,247,,,,,,,
Light: Hartwood Acres Middle Rd Ent,2018-10-01,0,0,0,0,0,0,15.98,15.98,0,0,0,0,15.98,0,0,0,0,400,52,,,,,,,
Light: Hartwood Acres Middle Rd Ent,2018-12-01,0,0,0,0,0,0,12.37,12.37,0,0,0,0,12.37,0,0,0,0,890,0,,,,,,,
Light: Hartwood Acres Middle Rd Ent,2019-03-01,0,0,0,0,0,0,13.41,13.41,0,0,0,0,13.41,0,0,0,0,860,0,,,,,,,
Light: Hartwood Acres Middle Rd Ent,2019-05-01,0,0,0,0,0,0,30.65,30.65,0,0,0,0,30.65,0,0,0,0,101,76,,,,,,,
Light: Hartwood Acres Middle Rd Ent,2019-07-01,0.0043425,0.00127271395076202,0,0,0,0,12.75,12.75,0,0,0,0,12.75,5.44367756447831e-07,5.44367756447831e-07,0,0,0,307,,,,,,,
Light: Hartwood Acres Middle Rd Ent,2020-11-01,0.1550909,0.0454545427901524,0,0,0,0,15.88,15.88,0,0,0,0,15.88,1.94419079512896e-05,1.94419079512896e-05,0,0,536,0,,,,,,,
Light: Hartwood Acres Middle Rd Ent,2021-01-01,3.5147268,1.03010750293083,0,0,0,0,12.93,12.93,0,0,0,0,12.93,0.000440599641368581,0.000440599641368581,0,0,1052,0,,,,,,,
Light: Hartwood Acres Middle Rd Ent,2021-04-01,0,0,0,0,0,0,13.03,13.03,0,0,0,0,13.03,0,0,0,0,416,15,,,,,,,
N Park Pool,2021-10-01,26303.95,0,25.5875,0,3488.871,219565.2174,179.44,0,179.44,0,18324.61,2350.81,20854.86,1.538781075,0,1.538781075,0,194,34,,Yes,,58770.8408517436,57.170078649556,0,0
Kane/McKeesport,2015-03-01,2194112.7819783,199958.012986987,1470.67708333337,0,392.1133,392.1133,19959.58,15916.95,4042.63,0,3714.52,7682.42,31356.52,187.32501539771,98.881436960208,88.4435784375019,0,885,0,Yes,Yes,,3051312.98526295,2064.76415371945,272196.786412473,0
Kane/McKeesport,2015-05-01,1455603.7258448,267844,526.964978448249,0,391.299,391.299,23560.95,21330.14,2230.81,0,3704.29,4885.77,32151.01,164.142424157921,132.451804284,31.6906198739208,0,89,131,Yes,Yes,,5926859.819337,2230.01997697873,1065181.50146626,0
Kane/McKeesport,2015-07-01,1322121.9072434,310153.851619637,256.689655172374,0,401.4151,0,25044.54,23655.24,1389.3,0,3521.05,0,28565.59,168.811293801034,153.374491318278,15.4368024827562,0,0,262,Yes,Yes,,3378467.66695662,678.953935246012,785610.49868808,0
Kane/McKeesport,2016-02-01,1951119.3057291,181660.955665035,1295.03125,0,345.5594,345.5594,22285.93,15063.02,7222.91,0,3031.24,4354.12,29671.29,155.58097659146,77.7003872789602,77.8805893125,0,891,0,Yes,Yes,,1275136.92870563,829.141996891997,123909.424355409,0
Pump: N Park Filtration Plant,2022-02-01,0,0,0,0,0,0,27.61,27.61,0,0,0,0,27.61,0,0,0,0,895,0,,,,0,0,0,0
Warehouse Co of Allegheny,2021-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,95,Yes,,,0,0,0,0
Settler's Cabin Wave Pool,2022-10-01,19797.2836671,5802.25195401524,0,0,0,0,1664.99,1664.99,0,0,314.75,242.26,2222,2.48175081027531,2.48175081027531,0,0,421,0,,,,23890.9369904428,0,7002.03311560458,0
Allegheny County Medical Examiner,2022-08-01,2183941.6829714,453075.027096776,620.670905172374,0,212.025,212.025,40444.47,35119.55,5324.92,0,4869.51,2069.64,47383.62,231.116063635143,193.790156739887,37.3259068952562,0,0,217,Yes,Yes,,3217090.37924791,812.068470086924,1033880.38145339,0
Allegheny County Medical Examiner,2022-10-01,2191801.0984972,335102.028571424,1019.87643678161,0,103.1714,103.1714,37033.37,29641.44,7391.93,0,2752.89,1010.85,40797.11,204.663839019799,143.330509864627,61.3333291551728,0,421,0,Yes,Yes,,2349025.63523628,1131.24937624604,398181.070069617,0
Pump House: Round Hill Park,2021-09-01,10904.3667742,3195.88709677608,0,0,0,0,226.55,226.55,0,0,0,0,226.55,1.36695122080726,1.36695122080726,0,0,47,95,,,,39471.6959614329,0,11568.4923685325,0
Boyce Park Admin. Bldg.,2022-04-01,112980.7448276,0,109.903448275875,0,0,21.2667,384.57,0,384.57,0,0,396.19,780.76,6.6093735724146,0,6.6093735724146,0,484,14,,Yes,,119230.27839843,115.982761087966,0,0
Boyce Park Admin. Bldg.,2022-06-01,7668.133871,0,7.45927419357977,0,0,22,58.31,0,58.31,0,0,409.85,468.16,0.4485858314535,0,0.4485858314535,0,15,156,,Yes,,22187.1201886408,21.5828017399229,0,0
